Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2023,30.050,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2022,31.670,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2021,33.670,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2020,36.600,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2019,26.790,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2018,24.950,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2017,23.960,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2016,22.970,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2015,25.370,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2014,22.370,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2013,23.470,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2012,19.080,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2011,28.460,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2010,28.130,total
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Sri Lanka,LKA,2009,31.140,total
