Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2025,6.476,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2024,6.807,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2023,6.638,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2022,6.268,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2021,7.698,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2020,8.251,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2019,7.331,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2018,6.966,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2017,6.321,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2016,6.836,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2015,7.445,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2014,6.304,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2013,6.505,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2012,6.160,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2011,6.978,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2010,7.476,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2009,8.781,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2008,8.244,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2007,9.174,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2006,9.937,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2005,11.930,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2004,12.951,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2003,12.889,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2002,13.030,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2001,11.422,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,2000,11.465,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,1999,13.353,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,1998,13.715,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,1997,16.438,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,1996,17.746,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,1995,19.279,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,1994,20.475,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,1993,21.851,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,1992,22.618,"female, Modeled, 15+"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sri Lanka,LKA,1991,22.906,"female, Modeled, 15+"
