Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2025,2.763,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2024,2.952,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2023,3.503,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2022,3.661,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2021,3.649,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2020,3.955,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2019,3.294,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2018,2.986,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2017,2.824,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2016,2.889,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2015,2.986,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2014,3.071,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2013,2.994,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2012,2.787,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2011,2.681,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2010,3.451,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2009,4.401,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2008,3.727,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2007,4.389,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2006,4.804,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2005,5.569,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2004,6.124,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2003,5.915,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2002,6.651,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2001,6.158,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,2000,5.893,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,1999,6.651,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,1998,6.667,"male, Modeled, 15+"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Sri Lanka,LKA,1997,7.825,"male, Modeled, 15+"
