Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2023,3.527,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2022,3.632,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2021,3.610,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2020,3.923,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2019,3.259,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2018,2.950,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2017,2.786,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2016,2.840,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2015,2.940,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2014,3.041,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2013,2.959,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2012,2.760,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2011,2.656,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2010,3.416,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2009,4.320,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2008,3.630,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2007,4.320,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2006,4.680,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2005,5.550,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2004,6.110,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2003,5.920,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2002,6.600,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2001,6.200,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,2000,5.870,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,1999,6.650,"male, National, 15+"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Sri Lanka,LKA,1993,9.750,"male, National, 15+"
