Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2025,24.767,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2024,25.611,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2023,24.618,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2022,25.860,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2021,34.785,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2020,34.004,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2019,27.356,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2018,28.804,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2017,23.170,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2016,27.519,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2015,25.477,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2014,25.355,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2013,24.422,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2012,22.704,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2011,24.402,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2010,23.596,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2009,28.020,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2008,25.922,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2007,28.541,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2006,29.049,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2005,38.858,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2004,38.765,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2003,36.722,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2002,36.081,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2001,30.797,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,2000,30.196,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,1999,33.764,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,1998,31.980,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,1997,40.720,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,1996,42.173,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,1995,42.975,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,1994,43.662,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,1993,44.159,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,1992,46.866,"female, Modeled, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Sri Lanka,LKA,1991,46.981,"female, Modeled, 15-24"
