Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2023,28.837,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2022,26.027,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2021,35.162,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2020,34.348,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2019,28.121,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2018,29.432,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2017,23.667,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2016,28.361,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2015,26.332,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2014,26.408,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2013,24.913,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2012,23.540,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2011,24.462,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2010,23.828,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2009,27.880,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2008,25.340,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2007,28.100,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2006,28.220,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2005,37.050,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2004,35.670,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2003,33.850,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,2000,30.780,"female, National, 15-24"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Sri Lanka,LKA,1999,35.410,"female, National, 15-24"
