Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2025,15.256,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2024,15.578,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2023,18.142,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2022,19.554,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2021,20.674,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2020,21.188,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2019,16.702,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2018,16.212,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2017,14.133,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2016,16.044,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2015,15.558,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2014,15.161,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2013,14.368,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2012,13.688,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2011,12.636,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2010,15.911,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2009,17.277,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2008,14.681,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2007,17.505,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2006,18.266,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2005,21.537,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2004,22.559,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2003,22.598,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2002,24.446,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2001,21.861,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,2000,20.305,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,1999,21.784,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,1998,21.210,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,1997,25.976,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,1996,26.727,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,1995,27.671,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,1994,27.078,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,1993,27.953,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,1992,28.110,"male, Modeled, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Sri Lanka,LKA,1991,28.610,"male, Modeled, 15-24"
