Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2023,19.186,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2022,19.830,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2021,20.979,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2020,21.518,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2019,17.122,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2018,16.559,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2017,14.601,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2016,16.769,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2015,16.275,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2014,15.853,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2013,14.680,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2012,13.990,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2011,12.581,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2010,16.088,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2009,17.100,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2008,14.190,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2007,17.070,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2006,17.460,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2005,20.400,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2004,21.180,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2003,21.650,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,2000,19.940,"male, National, 15-24"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Sri Lanka,LKA,1999,22.050,"male, National, 15-24"
