Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2025,18.578,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2024,19.062,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2023,20.342,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2022,21.732,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2021,25.371,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2020,25.449,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2019,20.425,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2018,20.496,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2017,17.391,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2016,20.070,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2015,19.231,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2014,18.781,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2013,17.939,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2012,16.795,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2011,16.758,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2010,18.684,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2009,21.155,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2008,18.731,"total, Modeled, 15-24"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Sri Lanka,LKA,2007,21.467,"total, Modeled, 15-24"
