"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2023","4.349","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2022","3.365","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2021","3.112","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2020","3.204","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2019","3.351","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2018","3.397","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2017","3.865","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2016","3.422","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2015","3.769","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2014","2.814","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2013","3.623","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2012","3.750","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2011","3.234","female"
"Time-related underemployment, female (% of employment)","SL.EMP.UNDR.FE.ZS","Sri Lanka","LKA","2010","4.062","female"
