"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2023","3.302","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2022","2.190","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2021","1.950","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2020","2.150","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2019","2.123","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2018","2.042","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2017","2.079","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2016","1.682","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2015","1.964","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2014","1.565","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2013","1.792","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2012","2.290","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2011","2.405","male"
"Time-related underemployment, male (% of employment)","SL.EMP.UNDR.MA.ZS","Sri Lanka","LKA","2010","2.642","male"
