Year,Number,Percentage_(%),Percentage_to_Inactive,Gender
2017,87626,100.0,1.2,Total
2017,37372,42.7,2.0,Male
2017,50253,57.3,0.9,Female
2018,82131,100.0,1.1,Total
2018,41468,50.5,2.0,Male
2018,40663,49.5,0.7,Female
2019,89272,100.0,1.1,Total
2019,36650,41.1,1.8,Male
2019,52623,58.9,0.9,Female
2020,98701,100.0,1.2,Total
2020,42284,42.8,1.9,Male
2020,56417,57.2,0.9,Female
2021,95300,100.0,1.1,Total
2021,44115,46.3,1.9,Male
2021,51185,53.7,0.8,Female
2022,89873,100.0,1.0,Total
2022,40258,44.8,1.7,Male
2022,49616,55.2,0.8,Female
2023,100846,100.0,1.1,Total
2023,46260,45.9,1.8,Male
2023,54586,54.1,0.9,Female
2024,68164,100.0,0.7,Total
2024,31890,46.8,1.2,Male
2024,36274,53.2,0.6,Female
