Year,District,Total_(%),Male_(%),Female_(%)
2015,Colombo,100.0,66.4,33.6
2015,Gampaha,100.0,65.7,34.3
2015,Kalutara,100.0,64.4,35.6
2015,Kandy,100.0,63.5,36.5
2015,Matale,100.0,60.1,39.9
2015,Nuwara Eliya,100.0,55.5,44.5
2015,Galle,100.0,64.3,35.7
2015,Matara,100.0,63.8,36.2
2015,Hambantota,100.0,64.5,35.5
2015,Jaffna,100.0,70.9,29.1
2015,Mannar,100.0,80.2,19.8
2015,Vavunia,100.0,64.8,35.2
2015,Mullativu,100.0,70.4,29.6
2015,Kilinochchi,100.0,73.1,26.9
2015,Batticaloa,100.0,72.0,28.0
2015,Ampara,100.0,75.7,24.3
2015,Trincomalee,100.0,75.7,24.3
2015,Kurunegala,100.0,61.0,39.0
2015,Puttalam,100.0,65.3,34.7
2015,Anuradhapura,100.0,58.6,41.4
2015,Polonnaruwa,100.0,67.3,32.7
2015,Badulla,100.0,57.6,42.4
2015,Moneragala,100.0,60.8,39.2
2015,Ratnapura,100.0,62.2,37.8
2015,Kegalle,100.0,60.9,39.1
2016,Colombo,100.0,65.7,34.3
2016,Gampaha,100.0,66.9,33.1
2016,Kalutara,100.0,64.2,35.8
2016,Kandy,100.0,63.5,36.5
2016,Matale,100.0,59.9,40.1
2016,Nuwara Eliya,100.0,55.6,44.4
2016,Galle,100.0,63.7,36.3
2016,Matara,100.0,62.1,37.9
2016,Hambantota,100.0,66.1,33.9
2016,Jaffna,100.0,73.6,26.4
2016,Mannar,100.0,76.6,23.4
2016,Vavunia,100.0,62.5,37.5
2016,Mullativu,100.0,65.9,34.1
2016,Kilinochchi,100.0,71.0,29.0
2016,Batticaloa,100.0,70.5,29.5
2016,Ampara,100.0,74.8,25.2
2016,Trincomalee,100.0,74.9,25.1
2016,Kurunegala,100.0,59.5,40.5
2016,Puttalam,100.0,66.2,33.8
2016,Anuradhapura,100.0,58.3,41.7
2016,Polonnaruwa,100.0,67.3,32.7
2016,Badulla,100.0,60.1,39.9
2016,Moneragala,100.0,63.5,36.5
2016,Ratnapura,100.0,61.0,39.0
2016,Kegalle,100.0,58.6,41.4
2017,Colombo,100.0,64.5,35.5
2017,Gampaha,100.0,67.2,32.8
2017,Kalutara,100.0,64.3,35.7
2017,Kandy,100.0,61.4,38.6
2017,Matale,100.0,59.3,40.7
2017,Nuwara Eliya,100.0,56.0,44.0
2017,Galle,100.0,62.6,37.4
2017,Matara,100.0,61.4,38.6
2017,Hambantota,100.0,64.1,35.9
2017,Jaffna,100.0,68.0,32.0
2017,Mannar,100.0,74.2,25.8
2017,Vavunia,100.0,63.7,36.3
2017,Mullativu,100.0,70.9,29.1
