Year,Age_Group,Total_(%),Male_(%),Female_(%)
2015,Total,100.0,100.0,100.0
2015,15-19,18.5,34.9,12.9
2015,20-24,8.3,9.3,7.9
2015,25-29,6.3,2.2,7.6
2015,30-34,7.2,1.7,9.1
2015,35-39,6.4,1.3,8.1
2015,40-44,5.3,1.6,6.5
2015,45-49,5.3,1.8,6.5
2015,50-54,5.7,2.2,7.0
2015,55-59,6.7,4.1,7.6
2015,60-64,8.0,8.9,7.7
2015,65+,22.4,32.0,19.2
2016,Total,100.0,100.0,100.0
2016,15-19,19.0,35.9,13.5
2016,20-24,8.1,8.8,7.9
2016,25-29,6.0,2.2,7.3
2016,30-34,6.9,1.3,8.8
2016,35-39,6.3,1.3,8.0
2016,40-44,5.0,1.2,6.3
2016,45-49,5.0,1.4,6.2
2016,50-54,6.0,2.2,7.2
2016,55-59,6.6,4.4,7.3
2016,60-64,7.9,8.2,7.8
2016,65+,23.1,33.2,19.8
2017,Total,100.0,100.0,100.0
2017,15-19,19.6,35.4,14.1
2017,20-24,7.7,9.0,7.3
2017,25-29,5.5,2.0,6.7
2017,30-34,6.0,1.5,7.5
2017,35-39,6.7,1.3,8.5
2017,40-44,5.5,1.5,6.9
2017,45-49,5.4,1.8,6.6
2017,50-54,5.8,2.4,7.0
2017,55-59,6.7,4.9,7.3
2017,60-64,8.0,8.0,8.0
2017,65+,23.2,32.2,20.1
2018,Total,100.0,100.0,100.0
2018,15-19,19.4,35.3,13.8
2018,20-24,8.1,9.5,7.6
2018,25-29,5.2,2.4,6.2
2018,30-34,5.6,1.0,7.2
2018,35-39,6.7,1.2,8.6
2018,40-44,5.8,1.6,7.2
2018,45-49,5.1,1.5,6.4
2018,50-54,5.6,1.7,6.9
2018,55-59,6.7,4.5,7.5
2018,60-64,7.8,8.2,7.7
2018,65+,23.9,33.0,20.7
2019,Total,100.0,100.0,100.0
2019,15-19,19.4,35.3,13.7
2019,20-24,7.7,9.0,7.2
2019,25-29,5.1,2.5,6.0
2019,30-34,5.6,1.1,7.3
2019,35-39,6.0,1.1,7.8
2019,40-44,5.6,1.5,7.1
2019,45-49,5.1,1.6,6.4
2019,50-54,5.8,2.1,7.1
2019,55-59,6.9,4.2,7.8
2019,60-64,8.2,8.6,8.1
2019,65+,24.5,33.1,21.5
2020,Total,100.0,100.0,100.0
2020,15-19,19.0,34.0,13.6
2020,20-24,8.3,9.8,7.8
2020,25-29,5.1,2.7,6.0
2020,30-34,4.9,1.1,6.2
2020,35-39,6.1,1.1,7.9
2020,40-44,5.7,1.5,7.3
2020,45-49,5.4,2.0,6.7
2020,50-54,5.7,2.0,7.0
2020,55-59,6.8,4.6,7.7
2020,60-64,8.3,8.6,8.1
2020,65+,24.8,32.6,21.9
2021,Total,100.0,100.0,100.0
2021,15-19,18.8,33.2,13.5
2021,20-24,9.0,11.6,8.0
2021,25-29,5.0,2.8,5.7
2021,30-34,4.7,1.2,6.0
2021,35-39,5.4,1.1,7.0
2021,40-44,5.6,1.3,7.1
2021,45-49,5.4,1.6,6.7
2021,50-54,5.5,1.7,6.9
2021,55-59,6.7,3.8,7.7
2021,60-64,8.5,8.4,8.6
2021,65+,25.6,33.3,22.7
2022,Total,100.0,100.0,100.0
2022,15-19,19.6,34.4,14.1
2022,20-24,8.6,10.7,7.7
2022,25-29,4.8,2.6,5.6
2022,30-34,4.9,1.1,6.3
2022,35-39,5.3,1.0,7.0
2022,40-44,5.6,1.1,7.3
2022,45-49,5.1,1.4,6.5
2022,50-54,5.6,1.7,7.0
2022,55-59,6.3,4.1,7.1
2022,60-64,8.3,8.2,8.3
2022,65+,25.9,33.6,23.1
2023,Total,100.0,100.0,100.0
2023,15-19,18.9,32.3,13.6
2023,20-24,9.1,12.0,8.0
2023,25-29,4.4,2.6,5.1
2023,30-34,4.5,1.2,5.8
2023,35-39,5.0,1.1,6.6
2023,40-44,5.5,1.3,7.2
2023,45-49,5.1,1.6,6.5
2023,50-54,6.0,2.5,7.3
2023,55-59,6.5,4.1,7.4
2023,60-64,8.2,7.9,8.3
2023,65+,26.7,33.3,24.1
2024,Total,100.0,100.0,100.0
2024,15-19,18.1,30.0,13.2
2024,20-24,8.7,11.1,7.7
2024,25-29,4.4,2.8,5.1
2024,30-34,4.2,1.3,5.4
2024,35-39,4.5,1.2,5.9
2024,40-44,5.4,1.4,7.1
2024,45-49,5.3,1.3,6.9
2024,50-54,5.7,2.3,7.0
2024,55-59,6.8,4.4,7.7
2024,60-64,8.7,8.3,8.9
2024,65+,28.2,35.9,25.0
