Year,Occupation,Total_(%),Male_(%),Female_(%),Female_contribution_to_total_employment_(%)
2015,Total,100.0,100.0,100.0,34.9
2015,Managers Senior Officials and Legislators,6.1,7.0,4.6,25.9
2015,Professionals,6.5,3.4,12.3,65.8
2015,Technical & Associate Professionals,6.0,6.3,5.6,32.3
2015,Clerks and Clerical support workers,4.0,2.9,5.9,51.8
2015,Services and Sales workers,10.9,11.5,9.8,31.3
2015,Skilled Agricultural Forestry and Fishery workers,18.6,18.9,18.0,33.8
2015,Craft and Related Trades workers,16.2,16.3,15.8,34.2
2015,Plant and Machine operators and Assemblers,8.6,11.3,3.5,14.3
2015,Elementary occupations,22.6,21.6,24.3,37.7
2015,Armed Forces Occupations,0.5,0.7,0.2,12.6
2016,Total,100.0,100.0,100.0,35.2
2016,Managers Senior Officials and Legislators,6.0,6.7,4.9,28.4
2016,Professionals,6.5,3.7,11.8,63.8
2016,Technical & Associate Professionals,6.1,6.0,6.2,35.9
2016,Clerks and Clerical support workers,4.0,3.0,5.9,51.4
2016,Services and Sales workers,11.2,11.8,10.2,32.0
2016,Skilled Agricultural Forestry and Fishery workers,18.1,18.1,18.0,35.1
2016,Craft and Related Trades workers,16.0,16.1,15.9,34.8
2016,Plant and Machine operators and Assemblers,8.8,11.8,3.4,13.5
2016,Elementary occupations,22.6,22.1,23.4,36.5
2016,Armed Forces Occupations,0.6,0.7,0.3,16.7
2017,Total,100.0,100.0,100.0,35.7
2017,Managers Senior Officials and Legislators,6.8,7.7,5.3,27.6
2017,Professionals,6.8,4.0,11.8,62.2
2017,Technical & Associate Professionals,6.8,6.7,6.8,35.8
2017,Clerks and Clerical support workers,4.0,2.9,5.9,52.9
2017,Services and Sales workers,10.0,10.5,9.2,32.7
2017,Skilled Agricultural Forestry and Fishery workers,17.1,16.9,17.5,36.5
2017,Craft and Related Trades workers,16.7,17.0,16.0,34.2
2017,Plant and Machine operators and Assemblers,9.0,12.0,3.7,14.7
2017,Elementary occupations,22.4,21.7,23.7,37.7
2017,Armed Forces Occupations,0.4,0.6,0.1,9.9
2018,Total,100.0,100.0,100.0,33.9
2018,Managers Senior Officials and Legislators,7.7,8.6,5.9,26.0
2018,Professionals,7.0,3.7,13.4,65.0
