Year,Occupation,Total_No,Total_Pct,Formal_No,Formal_Pct,Informal_No,Informal_Pct
2015,Total,7830976,100.0,3144478,40.2,4686498,59.8
2015,Chief Executive / Senior Official / Legislators,24509,100.0,24509,100.0,0,0.0
2015,Administrative & Commercial Managers,72023,100.0,58133,80.7,13890,19.3
2015,Production & Specialized Services Managers,115865,100.0,80671,69.6,35194,30.4
2015,Hospitality / Shop & Related Services Managers,267700,100.0,79800,29.8,187900,70.2
2015,Professionals,511230,100.0,433314,84.8,77916,15.2
2015,Technical & Associate Professionals,470645,100.0,404843,86.0,65802,14.0
2015,Clerks & Clerical Support Workers,311455,100.0,296253,95.1,15203,4.9
2015,Services & Sales Workers,852722,100.0,405609,47.6,447113,52.4
2015,Skilled Agricultural / Forestry & Fishery Workers,1457350,100.0,43428,3.0,1413922,97.0
2015,Craft & Related Trades Workers,1266101,100.0,344076,27.2,922025,72.8
2015,Plant & Machine Operators & Assemblers,673380,100.0,275615,40.9,397765,59.1
2015,Elementary Occupations,1766704,100.0,664419,37.6,1102285,62.4
2015,Armed Forces & Unidentified Occupations,41292,100.0,33808,81.9,7484,18.1
2016,Total,7947683,100.0,3163062,39.8,4784621,60.2
2016,Chief Executive / Senior Official / Legislators,17038,100.0,17038,100.0,0,0.0
2016,Administrative & Commercial Managers,57275,100.0,49915,87.1,7360,12.9
2016,Production & Specialized Services Managers,112570,100.0,79812,70.9,32758,29.1
2016,Hospitality / Shop & Related Services Managers,293610,100.0,79908,27.2,213702,72.8
2016,Professionals,519032,100.0,427888,82.4,91144,17.6
2016,Technical & Associate Professionals,484965,100.0,429680,88.6,55286,11.4
2016,Clerks & Clerical Support Workers,320791,100.0,307355,95.8,13435,4.2
2016,Services & Sales Workers,891034,100.0,423647,47.5,467387,52.5
2016,Skilled Agricultural / Forestry & Fishery Workers,1435354,100.0,41777,2.9,1393578,97.1
2016,Craft & Related Trades Workers,1274167,100.0,353173,27.7,920994,72.3
2016,Plant & Machine Operators & Assemblers,702675,100.0,289535,41.2,413140,58.8
2016,Elementary Occupations,1795378,100.0,626314,34.9,1169065,65.1
2016,Armed Forces & Unidentified Occupations,43795,100.0,37022,84.5,6772,15.5
2017,Total,8208179,100.0,3444286,42.0,4763893,58.0
2017,Chief Executive / Senior Official / Legislators,32067,100.0,32067,100.0,0,0.0
2017,Administrative & Commercial Managers,86675,100.0,76168,87.9,10506,12.1
2017,Production & Specialized Services Managers,121623,100.0,86826,71.4,34797,28.6
2017,Hospitality / Shop & Related Services Managers,320370,100.0,108149,33.8,212221,66.2
2017,Professionals,557870,100.0,468662,84.0,89209,16.0
2017,Technical & Associate Professionals,554603,100.0,476479,85.9,78124,14.1
2017,Clerks & Clerical Support Workers,327836,100.0,308097,94.0,19739,6.0
2017,Services & Sales Workers,822243,100.0,436570,53.1,385673,46.9
2017,Skilled Agricultural / Forestry & Fishery Workers,1404798,100.0,44964,3.2,1359833,96.8
2017,Craft & Related Trades Workers,1367232,100.0,376245,27.5,990987,72.5
2017,Plant & Machine Operators & Assemblers,739821,100.0,301625,40.8,438196,59.2
2017,Elementary Occupations,1838349,100.0,697972,38.0,1140376,62.0
2017,Armed Forces & Unidentified Occupations,34692,100.0,30461,87.8,4232,12.2
2018,Total,8015166,100.0,3309386,41.3,4705780,58.7
2018,Chief Executive / Senior Official / Legislators,33707,100.0,31728,94.1,1980,5.9
2018,Administrative & Commercial Managers,84547,100.0,73933,87.4,10613,12.6
2018,Production & Specialized Services Managers,156419,100.0,95570,61.1,60849,38.9
2018,Hospitality / Shop & Related Services Managers,344639,100.0,105500,30.6,239139,69.4
2018,Professionals,558574,100.0,472368,84.6,86206,15.4
2018,Technical & Associate Professionals,662323,100.0,518161,78.2,144162,21.8
2018,Clerks & Clerical Support Workers,286493,100.0,270133,94.3,16360,5.7
2018,Services & Sales Workers,701676,100.0,388735,55.4,312941,44.6
2018,Skilled Agricultural / Forestry & Fishery Workers,1308806,100.0,33131,2.5,1275675,97.5
2018,Craft & Related Trades Workers,1297912,100.0,328607,25.3,969305,74.7
2018,Plant & Machine Operators & Assemblers,706185,100.0,284130,40.2,422055,59.8
2018,Elementary Occupations,1836250,100.0,678397,36.9,1157853,63.1
2018,Armed Forces & Unidentified Occupations,37635,100.0,28991,77.0,8644,23.0
2019,Total,8180693,100.0,3482505,42.6,4698187,57.4
2019,Chief Executive / Senior Official / Legislators,27989,100.0,26098,93.2,1891,6.8
2019,Administrative & Commercial Managers,123457,100.0,104109,84.3,19349,15.7
2019,Production & Specialized Services Managers,148284,100.0,82403,55.6,65881,44.4
2019,Hospitality / Shop & Related Services Managers,322736,100.0,99117,30.7,223619,69.3
