Year,Total_Employed,Total_Pct,Main_Job_Only,Main_Job_Only_Pct,Main_and_Secondary,Main_and_Secondary_Pct,Total_Jobs
2015,7830976,100.0,7130847,91.1,700129,8.9,8531105
2016,7947683,100.0,7070055,89.0,877628,11.0,8825311
2017,8208179,100.0,7516061,91.6,692118,8.4,8900297
2018,8015166,100.0,7511246,93.7,503920,6.3,8519085
2019,8180693,100.0,7648586,93.5,532107,6.5,8712799
2020,7999093,100.0,7485352,93.6,513741,6.4,8512834
2021,8113507,100.0,7623957,94.0,489550,6.0,8603057
2022,8147731,100.0,7661571,94.0,486160,6.0,8633890
2023,8009916,100.0,7498263,93.6,511653,6.4,8521570
2024,7949751,100.0,7549501,95.0,400250,5.0,8350001
