Year,Sector,Employed_Population,Employed_Pct,Main_Job_Only,Main_Job_Only_Pct,Main_and_Secondary_Jobs,Main_and_Secondary_Pct
2015,Urban,1196449,100.0,1165010,97.4,31440,2.6
2015,Rural,6264894,100.0,5630526,89.9,634367,10.1
2015,Estate,369633,100.0,335312,90.7,34322,9.3
2015,Total,7830976,100.0,7130847,91.1,700129,8.9
2016,Urban,1251750,100.0,1210160,96.7,41590,3.3
2016,Rural,6338767,100.0,5559098,87.7,779669,12.3
2016,Estate,357166,100.0,300797,84.2,56369,15.8
2016,Total,7947683,100.0,7070055,89.0,877628,11.0
2017,Urban,1348058,100.0,1295562,96.1,52496,3.9
2017,Rural,6459940,100.0,5850954,90.6,608986,9.4
2017,Estate,400182,100.0,369545,92.3,30636,7.7
2017,Total,8208179,100.0,7516061,91.6,692118,8.4
2018,Urban,1353372,100.0,1316621,97.3,36751,2.7
2018,Rural,6288677,100.0,5829291,92.7,459386,7.3
2018,Estate,373117,100.0,365334,97.9,7783,2.1
2018,Total,8015166,100.0,7511246,93.7,503920,6.3
2019,Urban,1354824,100.0,1321962,97.6,32862,2.4
2019,Rural,6427929,100.0,5946466,92.5,481464,7.5
2019,Estate,397939,100.0,380159,95.5,17781,4.5
2019,Total,8180693,100.0,7648586,93.5,532107,6.5
2020,Urban,1280775,100.0,1261624,98.5,19151,1.5
2020,Rural,6333528,100.0,5853291,92.4,480237,7.6
2020,Estate,384790,100.0,370437,96.3,14353,3.7
2020,Total,7999093,100.0,7485352,93.6,513741,6.4
2021,Urban,1307744,100.0,1274238,97.4,33505,2.6
2021,Rural,6393776,100.0,5950731,93.1,443045,6.9
2021,Estate,411987,100.0,398988,96.8,13000,3.2
2021,Total,8113507,100.0,7623957,94.0,489550,6.0
2022,Urban,1298138,100.0,1264725,97.4,33413,2.6
2022,Rural,6455261,100.0,6012364,93.1,442897,6.9
2022,Estate,394331,100.0,384481,97.5,9850,2.5
2022,Total,8147731,100.0,7661571,94.0,486160,6.0
2023,Urban,1308213,100.0,1275807,97.5,32407,2.5
2023,Rural,6349088,100.0,5883321,92.7,465767,7.3
2023,Estate,352615,100.0,339135,96.2,13480,3.8
2023,Total,8009916,100.0,7498263,93.6,511653,6.4
2024,Urban,1287721,100.0,1261057,97.9,26664,2.1
2024,Rural,6319262,100.0,5952745,94.2,366517,5.8
2024,Estate,342768,100.0,335699,97.9,7069,2.1
2024,Total,7949751,100.0,7549501,95.0,400250,5.0
