Year,Occupation_Group,Secondary_Employed_Population_No,Secondary_Employed_Population_Pct
2015,Managers_Senior_Officials_and_Legislators,15647,2.2
2015,Professionals,37888,5.4
2015,Technicians_and_Associate_Professionals,10211,1.5
2015,Clerks_and_Clerical_Support_Workers,2001,0.3
2015,Services_and_Sales_Workers,30422,4.3
2015,Skilled_Agricultural_Forestry_and_Fishery_Workers,374926,53.6
2015,Craft_and_Related_Trade_Workers,59124,8.4
2015,Plant_and_Machine_Operators_and_Assemblers,39801,5.7
2015,Elementary_Occupations,129571,18.5
2015,Armed_Forces_and_Undefined_Occupations,538,0.1
2015,Total,700129,100.0
2016,Managers_Senior_Officials_and_Legislators,22442,2.6
2016,Professionals,41530,4.7
2016,Technicians_and_Associate_Professionals,9082,1.0
2016,Clerks_and_Clerical_Support_Workers,1486,0.2
2016,Services_and_Sales_Workers,41335,4.7
2016,Skilled_Agricultural_Forestry_and_Fishery_Workers,472490,53.8
2016,Craft_and_Related_Trade_Workers,73749,8.4
2016,Plant_and_Machine_Operators_and_Assemblers,66872,7.6
2016,Elementary_Occupations,147870,16.8
2016,Armed_Forces_and_Undefined_Occupations,772,0.1
2016,Total,877628,100.0
2017,Managers_Senior_Officials_and_Legislators,26512,3.8
2017,Professionals,43267,6.3
2017,Technicians_and_Associate_Professionals,14339,2.1
2017,Clerks_and_Clerical_Support_Workers,2406,0.3
2017,Services_and_Sales_Workers,25320,3.7
2017,Skilled_Agricultural_Forestry_and_Fishery_Workers,342775,49.5
2017,Craft_and_Related_Trade_Workers,71573,10.3
2017,Plant_and_Machine_Operators_and_Assemblers,47230,6.8
2017,Elementary_Occupations,118261,17.1
2017,Armed_Forces_and_Undefined_Occupations,434,0.1
2017,Total,692118,100.0
2018,Managers_Senior_Officials_and_Legislators,25272,5.0
2018,Professionals,32910,6.5
2018,Technicians_and_Associate_Professionals,18621,3.7
2018,Clerks_and_Clerical_Support_Workers,871,0.2
2018,Services_and_Sales_Workers,17668,3.5
2018,Skilled_Agricultural_Forestry_and_Fishery_Workers,245574,48.7
2018,Craft_and_Related_Trade_Workers,50266,10.0
2018,Plant_and_Machine_Operators_and_Assemblers,32509,6.5
2018,Elementary_Occupations,78157,15.5
2018,Armed_Forces_and_Undefined_Occupations,2072,0.4
2018,Total,503920,100.0
2019,Managers_Senior_Officials_and_Legislators,24273,4.6
2019,Professionals,34940,6.6
2019,Technicians_and_Associate_Professionals,17122,3.2
2019,Clerks_and_Clerical_Support_Workers,2904,0.5
2019,Services_and_Sales_Workers,13189,2.5
2019,Skilled_Agricultural_Forestry_and_Fishery_Workers,276307,51.9
2019,Craft_and_Related_Trade_Workers,46333,8.7
2019,Plant_and_Machine_Operators_and_Assemblers,38542,7.2
2019,Elementary_Occupations,77983,14.7
2019,Armed_Forces_and_Undefined_Occupations,512,0.1
2019,Total,532107,100.0
2020,Managers_Senior_Officials_and_Legislators,12806,2.5
2020,Professionals,20152,3.9
2020,Technicians_and_Associate_Professionals,11180,2.2
2020,Clerks_and_Clerical_Support_Workers,1989,0.4
2020,Services_and_Sales_Workers,12423,2.4
2020,Skilled_Agricultural_Forestry_and_Fishery_Workers,304823,59.3
2020,Craft_and_Related_Trade_Workers,33660,6.6
2020,Plant_and_Machine_Operators_and_Assemblers,31673,6.2
2020,Elementary_Occupations,84764,16.5
2020,Armed_Forces_and_Undefined_Occupations,272,0.1
2020,Total,513741,100.0
2021,Managers_Senior_Officials_and_Legislators,8941,1.8
2021,Professionals,19769,4.0
2021,Technicians_and_Associate_Professionals,10037,2.1
2021,Clerks_and_Clerical_Support_Workers,1588,0.3
2021,Services_and_Sales_Workers,20051,4.1
2021,Skilled_Agricultural_Forestry_and_Fishery_Workers,251276,51.3
2021,Craft_and_Related_Trade_Workers,47203,9.6
2021,Plant_and_Machine_Operators_and_Assemblers,28239,5.8
2021,Elementary_Occupations,102446,20.9
2021,Armed_Forces_and_Undefined_Occupations,..,..
2021,Total,489550,100.0
2022,Managers_Senior_Officials_and_Legislators,9679,2.0
2022,Professionals,24522,5.0
2022,Technicians_and_Associate_Professionals,10844,2.2
2022,Clerks_and_Clerical_Support_Workers,718,0.1
2022,Services_and_Sales_Workers,24377,5.0
2022,Skilled_Agricultural_Forestry_and_Fishery_Workers,244539,50.3
2022,Craft_and_Related_Trade_Workers,41065,8.4
2022,Plant_and_Machine_Operators_and_Assemblers,31093,6.4
2022,Elementary_Occupations,98978,20.4
2022,Armed_Forces_and_Undefined_Occupations,345,0.1
2022,Total,486160,100.0
2023,Managers_Senior_Officials_and_Legislators,9751,1.9
2023,Professionals,29074,5.7
2023,Technicians_and_Associate_Professionals,10281,2.0
