Year,Education_Level,Main_Jobs,Main_Jobs_Pct,Secondary_Jobs,Secondary_Jobs_Pct,Total_Jobs,Total_Jobs_Pct
2015,Grade_5_and_Below,1304572,16.7,158000,22.6,1462572,17.1
2015,Grade_6_to_10,3708446,47.4,342670,48.9,4051116,47.5
2015,GCE_OL,1358638,17.3,104090,14.9,1462728,17.1
2015,GCE_AL_and_Above,1459322,18.6,95369,13.6,1554690,18.2
2015,Total,7830976,100.0,700129,100.0,8531105,100.0
2016,Grade_5_and_Below,1286085,16.2,180412,20.6,1466498,16.6
2016,Grade_6_to_10,3766485,47.4,451132,51.4,4217616,47.8
2016,GCE_OL,1297144,16.3,113538,12.9,1410682,16.0
2016,GCE_AL_and_Above,1597969,20.1,132546,15.1,1730515,19.6
2016,Total,7947683,100.0,877628,100.0,8825311,100.0
2017,Grade_5_and_Below,1299892,15.8,143900,20.8,1443792,16.2
2017,Grade_6_to_10,3782967,46.1,338198,48.9,4121165,46.3
2017,GCE_OL,1420549,17.3,97167,14.0,1517716,17.1
2017,GCE_AL_and_Above,1704771,20.8,112853,16.3,1817623,20.4
2017,Total,8208179,100.0,692118,100.0,8900297,100.0
2018,Grade_5_and_Below,1194984,14.9,93919,18.6,1288904,15.1
2018,Grade_6_to_10,3675316,45.9,256320,50.9,3931636,46.2
2018,GCE_OL,1447618,18.1,75469,15.0,1523087,17.9
2018,GCE_AL_and_Above,1697248,21.2,78211,15.5,1775459,20.8
2018,Total,8015166,100.0,503920,100.0,8519085,100.0
2019,Grade_5_and_Below,1148490,14.0,100258,18.8,1248747,14.3
2019,Grade_6_to_10,3744088,45.8,266470,50.1,4010558,46.0
2019,GCE_OL,1425476,17.4,73112,13.7,1498589,17.2
2019,GCE_AL_and_Above,1862639,22.8,92267,17.3,1954905,22.4
2019,Total,8180693,100.0,532107,100.0,8712799,100.0
2020,Grade_5_and_Below,1092458,13.7,95916,18.7,1188375,14.0
2020,Grade_6_to_10,3677247,46.0,276395,53.8,3953642,46.4
2020,GCE_OL,1425835,17.8,61784,12.0,1487619,17.5
2020,GCE_AL_and_Above,1803552,22.5,79646,15.5,1883198,22.1
2020,Total,7999093,100.0,513741,100.0,8512834,100.0
2021,Grade_5_and_Below,1050845,13.0,71267,14.6,1122112,13.0
2021,Grade_6_to_10,3705114,45.7,252952,51.7,3958066,46.0
2021,GCE_OL,1426252,17.6,85278,17.4,1511531,17.6
2021,GCE_AL_and_Above,1931296,23.8,80053,16.4,2011349,23.4
2021,Total,8113507,100.0,489550,100.0,8603057,100.0
2022,Grade_5_and_Below,1030864,12.7,79940,16.4,1110804,12.9
2022,Grade_6_to_10,3671867,45.1,258170,53.1,3930037,45.5
2022,GCE_OL,1437627,17.6,63298,13.0,1500926,17.4
2022,GCE_AL_and_Above,2007372,24.6,84752,17.4,2092124,24.2
2022,Total,8147731,100.0,486160,100.0,8633890,100.0
2023,Grade_5_and_Below,1009872,12.6,87258,17.1,1097129,12.9
2023,Grade_6_to_10,3513503,43.9,258070,50.4,3771573,44.3
2023,GCE_OL,1478787,18.5,81091,15.8,1559878,18.3
2023,GCE_AL_and_Above,2007755,25.1,85235,16.7,2092990,24.6
2023,Total,8009916,100.0,511653,100.0,8521570,100.0
2024,Grade_5_and_Below,923763,11.6,61687,15.4,985450,11.8
2024,Grade_6_to_10,3469664,43.6,202888,50.7,3672552,44.0
2024,GCE_OL,1519303,19.1,66968,16.7,1586271,19.0
2024,GCE_AL_and_Above,2037020,25.6,68707,17.2,2105727,25.2
2024,Total,7949751,100.0,400250,100.0,8350001,100.0
