Year,Age_Group,Main_Jobs,Main_Jobs_Pct,Secondary_Jobs,Secondary_Jobs_Pct,Total_Jobs,Total_Jobs_Pct
2015,15-19,175236,2.2,5272,0.8,180508,2.1
2015,20-24,584000,7.5,17304,2.5,601304,7.0
2015,25-29,759043,9.7,37864,5.4,796907,9.3
2015,30-39,1918976,24.5,173658,24.8,2092633,24.5
2015,40_and_above,4393722,56.1,466032,66.6,4859754,57.0
2015,Total,7830976,100.0,700129,100.0,8531105,100.0
2016,15-19,158340,2.0,4487,0.5,162828,1.8
2016,20-24,579051,7.3,23391,2.7,602442,6.8
2016,25-29,753476,9.5,41209,4.7,794684,9.0
2016,30-39,1923511,24.2,205693,23.4,2129204,24.1
2016,40_and_above,4533305,57.0,602847,68.7,5136152,58.2
2016,Total,7947683,100.0,877628,100.0,8825311,100.0
2017,15-19,172712,2.1,4428,0.6,177140,2.0
2017,20-24,623378,7.6,18240,2.6,641617,7.2
2017,25-29,757518,9.2,31195,4.5,788713,8.9
2017,30-39,1918741,23.4,151214,21.8,2069955,23.3
2017,40_and_above,4735830,57.7,487042,70.4,5222872,58.7
2017,Total,8208179,100.0,692118,100.0,8900297,100.0
2018,15-19,146929,1.8,1576,0.3,148505,1.7
2018,20-24,576556,7.2,9415,1.9,585971,6.9
2018,25-29,722470,9.0,24018,4.8,746488,8.8
2018,30-39,1811896,22.6,105380,20.9,1917276,22.5
2018,40_and_above,4757314,59.4,363531,72.1,5120846,60.1
2018,Total,8015166,100.0,503920,100.0,8519085,100.0
2019,15-19,152966,1.9,1755,0.3,154721,1.8
2019,20-24,582535,7.1,9088,1.7,591623,6.8
2019,25-29,761143,9.3,17381,3.3,778524,8.9
2019,30-39,1849980,22.6,113227,21.3,1963207,22.5
2019,40_and_above,4834070,59.1,390656,73.4,5224725,60.0
2019,Total,8180693,100.0,532107,100.0,8712799,100.0
2020,15-19,135771,1.7,3231,0.6,139002,1.6
2020,20-24,546632,6.8,8306,1.6,554938,6.5
2020,25-29,735523,9.2,20005,3.9,755529,8.9
2020,30-39,1762951,22.0,97259,18.9,1860210,21.9
2020,40_and_above,4818215,60.2,384941,74.9,5203156,61.1
2020,Total,7999093,100.0,513741,100.0,8512834,100.0
2021,15-19,116814,1.4,1152,0.2,117967,1.4
2021,20-24,510301,6.3,9331,1.9,519633,6.0
2021,25-29,760154,9.4,22041,4.5,782195,9.1
2021,30-39,1713494,21.1,86382,17.6,1799876,20.9
2021,40_and_above,5012744,61.8,370643,75.7,5383387,62.6
2021,Total,8113507,100.0,489550,100.0,8603057,100.0
2022,15-19,102692,1.3,1831,0.4,104522,1.2
2022,20-24,532876,6.5,6104,1.3,538981,6.2
2022,25-29,737356,9.0,17061,3.5,754417,8.7
2022,30-39,1741901,21.4,94603,19.5,1836504,21.3
2022,40_and_above,5032906,61.8,366560,75.4,5399467,62.5
2022,Total,8147731,100.0,486160,100.0,8633890,100.0
2023,15-19,94816,1.2,1974,0.4,96790,1.1
2023,20-24,511546,6.4,11792,2.3,523338,6.1
2023,25-29,672781,8.4,19057,3.7,691838,8.1
2023,30-39,1626674,20.3,92651,18.1,1719325,20.2
2023,40_and_above,5104100,63.7,386180,75.5,5490280,64.4
2023,Total,8009916,100.0,511653,100.0,8521570,100.0
2024,15-19,101356,1.3,584,0.1,101941,1.2
2024,20-24,499982,6.3,6511,1.6,506493,6.1
2024,25-29,694055,8.7,13887,3.5,707942,8.5
2024,30-39,1569319,19.7,60903,15.2,1630221,19.5
2024,40_and_above,5085039,64.0,318365,79.5,5403404,64.7
2024,Total,7949751,100.0,400250,100.0,8350001,100.0
