Year,Industry_Group,Main_Jobs,Main_Jobs_Pct,Secondary_Jobs,Secondary_Jobs_Pct,Total_Jobs,Total_Jobs_Pct
2015,Agriculture,2244547,28.7,370758,53.0,2615305,30.7
2015,Industries,2018171,25.8,101314,14.5,2119485,24.8
2015,Services,3568259,45.6,228057,32.6,3796316,44.5
2015,Total,7830976,100.0,700129,100.0,8531105,100.0
2016,Agriculture,2153874,27.1,567684,64.7,2721558,30.8
2016,Industries,2097503,26.4,106286,12.1,2203789,25.0
2016,Services,3696306,46.5,203658,23.2,3899963,44.2
2016,Total,7947683,100.0,877628,100.0,8825311,100.0
2017,Agriculture,2140185,26.1,417618,60.3,2557803,28.7
2017,Industries,2331494,28.4,106953,15.5,2438447,27.4
2017,Services,3736500,45.5,167547,24.2,3904047,43.9
2017,Total,8208179,100.0,692118,100.0,8900297,100.0
2018,Agriculture,2043698,25.5,296043,58.7,2339740,27.5
2018,Industries,2239262,27.9,73303,14.5,2312565,27.1
2018,Services,3732206,46.6,134574,26.7,3866780,45.4
2018,Total,8015166,100.0,503920,100.0,8519085,100.0
2019,Agriculture,2071940,25.3,324605,61.0,2396545,27.5
2019,Industries,2258421,27.6,68881,12.9,2327302,26.7
2019,Services,3850332,47.1,138621,26.1,3988953,45.8
2019,Total,8180693,100.0,532107,100.0,8712799,100.0
2020,Agriculture,2169679,27.1,365151,71.1,2534831,29.8
2020,Industries,2152746,26.9,51733,10.1,2204480,25.9
2020,Services,3676668,46.0,96856,18.9,3773524,44.3
2020,Total,7999093,100.0,513741,100.0,8512834,100.0
2021,Agriculture,2213015,27.3,316076,64.6,2529091,29.4
2021,Industries,2109482,26.0,70513,14.4,2179995,25.3
2021,Services,3791011,46.7,102960,21.0,3893971,45.3
2021,Total,8113507,100.0,489550,100.0,8603057,100.0
2022,Agriculture,2158559,26.5,302423,62.2,2460982,28.5
2022,Industries,2158199,26.5,64516,13.3,2222715,25.7
2022,Services,3830973,47.0,119220,24.5,3950194,45.8
2022,Total,8147731,100.0,486160,100.0,8633890,100.0
2023,Agriculture,2088344,26.1,322697,63.1,2411041,28.3
2023,Industries,2043154,25.5,70530,13.8,2113684,24.8
2023,Services,3878418,48.4,118427,23.1,3996845,46.9
2023,Total,8009916,100.0,511653,100.0,8521570,100.0
2024,Agriculture,2066651,26.0,263387,65.8,2330038,27.9
2024,Industries,2031417,25.6,46982,11.7,2078399,24.9
2024,Services,3851683,48.5,89880,22.5,3941563,47.2
2024,Total,7949751,100.0,400250,100.0,8350001,100.0
