Year,Major_Industry_Group,Underemployment_Rate_Percent
2015,Total,2.7
2015,Agriculture,4.6
2015,Industry,2.3
2015,Services,1.6
2016,Total,2.4
2016,Agriculture,4.1
2016,Industry,1.9
2016,Services,1.6
2017,Total,2.8
2017,Agriculture,4.9
2017,Industry,2.8
2017,Services,1.6
2018,Total,2.6
2018,Agriculture,4.1
2018,Industry,3.0
2018,Services,1.6
2019,Total,2.7
2019,Agriculture,4.0
2019,Industry,3.1
2019,Services,1.8
2020,Total,2.6
2020,Agriculture,4.3
2020,Industry,2.5
2020,Services,1.7
2021,Total,2.5
2021,Agriculture,3.5
2021,Industry,2.6
2021,Services,1.8
2022,Total,2.3
2022,Agriculture,3.2
2022,Industry,1.9
2022,Services,1.5
2023,Total,2.5
2023,Agriculture,3.9
2023,Industry,2.3
2023,Services,1.6
2024,Total,2.4
2024,Agriculture,3.8
2024,Industry,2.1
2024,Services,1.4
