Year,Gender,Underemployment_Rate_Percent
2014,Total,2.7
2014,Male,2.4
2014,Female,3.4
2015,Total,2.7
2015,Male,2.0
2015,Female,3.8
2016,Total,2.4
2016,Male,1.7
2016,Female,3.5
2017,Total,2.8
2017,Male,2.2
2017,Female,3.9
2018,Total,2.6
2018,Male,2.2
2018,Female,3.5
2019,Total,2.7
2019,Male,2.3
2019,Female,3.5
2020,Total,2.6
2020,Male,2.3
2020,Female,3.3
2021,Total,2.5
2021,Male,2.1
2021,Female,3.3
2022,Total,2.3
2022,Male,2.0
2022,Female,2.8
2023,Total,2.5
2023,Male,2.2
2023,Female,3.1
2024,Total,2.4
2024,Male,2.1
2024,Female,3.0
