Year,Level_of_Education,Total_Rate,Male_Rate,Female_Rate
2015,Total,2.7,2.0,3.8
2015,Grade 5 and below,3.0,2.8,3.5
2015,Grade 6-10,3.0,2.3,4.6
2015,G.C.E.(O/L),2.5,1.4,4.7
2015,G.C.E.(A/L) & above,1.7,1.0,2.3
2016,Total,2.4,1.7,3.5
2016,Grade 5 and below,2.8,2.1,4.0
2016,Grade 6-10,2.5,1.8,4.1
2016,G.C.E.(O/L),2.4,1.4,4.2
2016,G.C.E.(A/L) & above,1.6,1.3,2.0
2017,Total,2.8,2.2,3.9
2017,Grade 5 and below,3.3,3.0,3.9
2017,Grade 6-10,3.3,2.6,4.8
2017,G.C.E.(O/L),2.5,1.3,4.6
2017,G.C.E.(A/L) & above,1.7,1.1,2.3
2018,Total,2.6,2.2,3.5
2018,Grade 5 and below,2.9,2.7,3.2
2018,Grade 6-10,3.1,2.6,4.5
2018,G.C.E.(O/L),2.2,1.7,3.4
2018,G.C.E.(A/L) & above,1.7,1.0,2.5
2019,Total,2.7,2.3,3.5
2019,Grade 5 and below,2.7,2.4,3.1
2019,Grade 6-10,3.2,2.8,4.3
2019,G.C.E.(O/L),2.4,1.8,3.8
2019,G.C.E.(A/L) & above,1.9,1.3,2.6
2020,Total,2.6,2.3,3.3
2020,Grade 5 and below,3.1,2.9,3.5
2020,Grade 6-10,3.1,2.7,4.1
2020,G.C.E.(O/L),2.3,1.4,4.2
2020,G.C.E.(A/L) & above,1.5,1.4,1.7
2021,Total,2.5,2.1,3.3
2021,Grade 5 and below,2.9,2.9,2.8
2021,Grade 6-10,2.8,2.4,3.8
2021,G.C.E.(O/L),2.3,1.9,3.5
2021,G.C.E.(A/L) & above,1.9,1.2,2.7
2022,Total,2.3,2.0,2.8
2022,Grade 5 and below,2.5,2.3,2.9
2022,Grade 6-10,2.4,2.1,3.0
2022,G.C.E.(O/L),2.0,1.6,2.7
2022,G.C.E.(A/L) & above,1.5,1.3,1.9
2023,Total,2.5,2.2,3.1
2023,Grade 5 and below,2.7,2.5,3.2
2023,Grade 6-10,2.6,2.2,3.3
2023,G.C.E.(O/L),2.2,1.8,2.9
2023,G.C.E.(A/L) & above,1.7,1.5,2.1
2024,Total,2.4,2.1,3.0
2024,Grade 5 and below,2.6,2.4,3.1
2024,Grade 6-10,2.5,2.1,3.2
2024,G.C.E.(O/L),2.1,1.7,2.8
2024,G.C.E.(A/L) & above,1.6,1.4,2.0
