Year,District,Underemployment_Rate,Unemployment_Rate,Percentage_of_Informal_Employment
2015,All Island,2.7,4.7,59.8
2015,Colombo,2.1,3.6,44.1
2015,Gampaha,0.6,4.4,42.9
2015,Kalutara,3.5,4.5,53.3
2015,Kandy,1.5,5.4,56.7
2015,Matale,2.5,5.3,65.3
2015,Nuwara Eliya,1.8,3.2,48.7
2015,Galle,2.2,5.0,63.7
2015,Matara,3.7,6.5,61.8
2015,Hambantota,5.8,6.3,72.6
2015,Jaffna,3.9,5.7,65.7
2015,Mannar,,6.4,77.7
2015,Vavunia,2.7,4.3,59.5
2015,Mulativu,11.4,3.7,79.0
2015,Kilinochchi,,5.7,73.6
2015,Batticaloa,2.2,4.8,74.5
2015,Ampara,1.6,7.3,70.2
2015,Trincomalee,1.5,4.3,64.2
2015,Kurunegala,4.4,4.0,69.0
2015,Puttalam,2.0,3.3,71.4
2015,Anuradhapura,5.8,3.5,73.9
2015,Polonnaruwa,0.5,2.3,70.2
2015,Badulla,1.7,5.3,68.6
2015,Monaragala,1.9,3.5,76.8
2015,Ratnapura,3.8,4.2,63.2
2015,Kegalle,2.6,8.3,56.0
2015,Uva,,,
2016,All Island,2.4,4.4,60.2
2016,Colombo,1.2,2.9,41.0
2016,Gampaha,0.7,3.6,42.8
2016,Kalutara,2.8,3.0,56.3
2016,Kandy,2.2,4.4,59.4
2016,Matale,4.0,7.6,69.6
2016,Nuwara Eliya,1.7,4.6,52.2
2016,Galle,2.1,5.1,67.4
2016,Matara,4.2,6.5,65.6
2016,Hambantota,4.1,5.2,72.1
2016,Jaffna,2.9,7.0,71.3
2016,Mannar,,7.1,70.2
2016,Vavunia,1.5,5.2,62.6
2016,Mulativu,6.9,4.3,80.4
2016,Kilinochchi,2.0,6.3,67.4
2016,Batticaloa,1.7,5.2,69.2
2016,Ampara,2.2,6.6,68.8
2016,Trincomalee,2.0,3.9,69.3
2016,Kurunegala,4.2,3.0,67.2
2016,Puttalam,2.0,3.7,71.9
2016,Anuradhapura,3.7,3.8,74.0
2016,Polonnaruwa,0.3,2.5,69.3
2016,Badulla,2.2,3.9,65.1
2016,Monaragala,3.5,5.8,74.5
2016,Ratnapura,2.7,4.4,62.4
2016,Kegalle,1.6,6.9,58.9
2016,Uva,,,
2017,All Island,2.8,4.2,58.0
2017,Colombo,1.8,3.6,42.9
2017,Gampaha,0.9,3.3,39.1
2017,Kalutara,2.4,2.5,49.1
2017,Kandy,1.6,5.1,56.1
2017,Matale,1.9,5.8,66.9
2017,Nuwara Eliya,2.3,2.7,48.5
2017,Galle,2.4,4.4,63.8
2017,Matara,4.5,5.2,67.3
2017,Hambantota,3.3,5.7,66.4
2017,Jaffna,2.2,10.7,67.9
2017,Mannar,,3.8,67.8
2017,Vavunia,0.5,2.8,65.0
2017,Mulativu,2.3,3.7,75.6
2017,Kilinochchi,,6.1,67.4
2017,Batticaloa,2.7,6.6,71.5
2017,Ampara,3.8,5.2,64.9
2017,Trincomalee,1.5,6.4,59.4
2017,Kurunegala,6.1,4.0,64.8
2017,Puttalam,4.2,3.0,72.8
2017,Anuradhapura,7.0,4.6,74.1
2017,Polonnaruwa,1.7,3.6,65.5
2017,Badulla,2.7,4.6,68.4
2017,Monaragala,3.6,1.3,74.3
2017,Ratnapura,2.5,3.2,63.1
2017,Kegalle,1.9,4.3,50.4
2017,Uva,,,
2018,All Island,2.6,4.4,58.7
2018,Colombo,1.6,3.6,41.1
