Year,Measurement,Proportion
2015,Gender_Male,58.2
2015,Gender_Female,45.1
2015,Education_Grade_5_Below,24.3
2015,Education_Grade_6-10,52.1
2015,Education_GCE_OL,51.8
2015,Education_GCE_AL_Above,47.6
2016,Gender_Male,56.4
2017,Gender_Male,54.7
2018,Gender_Male,57.9
2019,Gender_Male,59.4
2020,Gender_Male,59.8
2020,Gender_Female,46.3
2020,Education_Grade_5_Below,21.2
2020,Education_Grade_6-10,56.8
2020,Education_GCE_OL,54.5
2020,Education_GCE_AL_Above,50.3
2021,Gender_Male,57.4
2021,Gender_Female,46.2
2021,Education_Grade_5_Below,18.0
2021,Education_Grade_6-10,50.4
2021,Education_GCE_OL,53.7
2021,Education_GCE_AL_Above,51.9
2022,Gender_Male,51.8
2022,Gender_Female,41.4
2022,Education_Grade_5_Below,30.4
2022,Education_Grade_6-10,47.4
2022,Education_GCE_OL,55.1
2022,Education_GCE_AL_Above,42.4
2023,Gender_Male,50.4
2023,Gender_Female,40.6
2023,Education_Grade_5_Below,6.6
2023,Education_Grade_6-10,42.3
2023,Education_GCE_OL,57.3
2023,Education_GCE_AL_Above,42.9
2024,Gender_Male,52.6
2024,Gender_Female,41.0
2024,Education_Grade_6-10,47.7
2024,Education_GCE_OL,55.4
2024,Education_GCE_AL_Above,42.0
