Year,Gender,NEET_Proportion
2015,Total,21.8
2015,Male,17.2
2015,Female,26.9
2016,Total,21.3
2016,Male,16.8
2016,Female,26.2
2017,Total,20.4
2017,Male,16.1
2017,Female,25.1
2018,Total,22.1
2018,Male,17.4
2018,Female,27.4
2019,Total,23.6
2019,Male,18.6
2019,Female,29.2
2020,Total,28.4
2020,Male,21.6
2020,Female,35.8
2021,Total,27.9
2021,Male,21.2
2021,Female,35.2
2022,Total,25.3
2022,Male,18.9
2022,Female,32.1
2023,Total,25.8
2023,Male,19.2
2023,Female,33.1
2024,Total,24.6
2024,Male,18.4
2024,Female,31.4
