Year, Gender, NEET_Number, NEET_Rate, 
2015, Total ,   1245000.0,      21.8,       
2015, Male  ,    584000.0,      17.2,       
2015, Female,    661000.0,      26.9,        
2016, Total ,   1198000.0,      21.3,        
2016, Male  ,    562000.0,      16.8,        
2016, Female,    636000.0,      26.2,        
2017, Total ,   1128000.0,      20.4,        
2017, Male  ,    541000.0,      16.1,       
2017, Female,    587000.0,      25.1,       
2018, Total ,   1312000.0,      22.1,        
2018, Male  ,    596000.0,      17.4,        
2018, Female,    716000.0,      27.4,        
2019, Total ,   1456000.0,      23.6,        
2019, Male  ,    675000.0,      18.6,        
2019, Female,    781000.0,      29.2,        
2015, Total ,    734550.0,      25.8, 
2015, Male  ,    224501.0,      16.3, 
2015, Female,    510049.0,      34.6,  
2016, Total ,    750864.0,      26.1,  
2016, Male  ,    234616.0,      17.0,  
2016, Female,    516247.0,      34.5,  
2017, Total ,    674009.0,      22.7,  
2017, Male  ,    212226.0,      14.8,  
2017, Female,    461783.0,      30.2,  
2018, Total ,    668331.0,      21.8,  
2018, Male  ,    216246.0,      14.4,  
2018, Female,    452085.0,      29.0,  
2019, Total ,    647863.0,      21.2,  
2019, Male  ,    202043.0,      13.3,  
2019, Female,    445820.0,      29.0,  
2020, Total ,   1742000.0,      28.4,       
2020, Male  ,    802000.0,      21.6,       
2020, Female,    940000.0,      35.8,       
2021, Total ,   1689000.0,      27.9,       
2021, Male  ,    785000.0,      21.2,       
2021, Female,    904000.0,      35.2,       
2022, Total ,   1512000.0,      25.3,       
2022, Male  ,    701000.0,      18.9,       
2022, Female,    811000.0,      32.1,       
2023, Total ,   1548000.0,      25.8,       
2023, Male  ,    712000.0,      19.2,       
2023, Female,    836000.0,      33.1,       
2024, Total ,   1468000.0,      24.6,      
2024, Male  ,    681000.0,      18.4,       
2024, Female,    787000.0,      31.4,       
