Year,District,Unemployment_Rate
2015,Colombo,5.6
2015,Gampaha,6.0
2015,Kalutara,4.7
2015,Kandy,6.2
2015,Matale,6.2
2015,Nuwara Eliya,3.9
2015,Kegalle,4.1
2015,Kurunegala,5.6
2015,Puttalam,5.4
2015,Anuradhapura,4.4
2015,Polonnaruwa,6.2
2015,Badulla,4.7
2015,Monaragala,5.5
2015,Ratnapura,4.3
2015,Kegalle,4.1
2015,Galle,3.9
2015,Matara,4.3
2015,Hambantota,6.5
2015,Jaffna,5.1
2015,Mullaitivu,5.7
2015,Batticaloa,4.9
2015,Ampara,5.9
2015,Trincomalee,6.1
2015,Kilinochchi,5.3
2015,Mannar,3.9
2016,Colombo,5.9
2016,Gampaha,6.3
2016,Kalutara,5.0
2016,Kandy,6.5
2016,Matale,6.5
2016,Nuwara Eliya,4.2
2016,Kegalle,4.4
2016,Kurunegala,5.9
2016,Puttalam,5.7
2016,Anuradhapura,4.7
2016,Polonnaruwa,6.5
2016,Badulla,5.0
2016,Monaragala,5.8
2016,Ratnapura,4.6
2016,Kegalle,4.4
2016,Galle,4.2
2016,Matara,4.6
2016,Hambantota,6.8
2016,Jaffna,5.4
2016,Mullaitivu,6.0
2016,Batticaloa,5.2
2016,Ampara,6.2
2016,Trincomalee,6.4
2016,Kilinochchi,5.6
2016,Mannar,4.2
2017,Colombo,6.2
2017,Gampaha,6.6
2017,Kalutara,5.3
2017,Kandy,6.8
2017,Matale,6.8
2017,Nuwara Eliya,4.5
2017,Kegalle,4.7
2017,Kurunegala,6.2
2017,Puttalam,6.0
2017,Anuradhapura,5.0
2017,Polonnaruwa,6.8
2017,Badulla,5.3
2017,Monaragala,6.1
2017,Ratnapura,4.9
2017,Kegalle,4.7
2017,Galle,4.5
2017,Matara,4.9
2017,Hambantota,7.1
2017,Jaffna,5.7
2017,Mullaitivu,6.3
2017,Batticaloa,5.5
2017,Ampara,6.5
2017,Trincomalee,6.7
2017,Kilinochchi,5.9
2017,Mannar,4.5
2018,Colombo,6.5
2018,Gampaha,6.9
2018,Kalutara,5.6
2018,Kandy,7.1
2018,Matale,7.1
2018,Nuwara Eliya,4.8
2018,Kegalle,5.0
2018,Kurunegala,6.5
2018,Puttalam,6.3
2018,Anuradhapura,5.3
2018,Polonnaruwa,7.1
2018,Badulla,5.6
2018,Monaragala,6.4
2018,Ratnapura,5.2
2018,Kegalle,5.0
2018,Galle,4.8
2018,Matara,5.2
2018,Hambantota,7.4
2018,Jaffna,6.0
2018,Mullaitivu,6.6
2018,Batticaloa,5.8
2018,Ampara,6.8
2018,Trincomalee,7.0
2018,Kilinochchi,6.2
2018,Mannar,4.8
2019,Colombo,6.8
2019,Gampaha,7.2
2019,Kalutara,5.9
2019,Kandy,7.4
2019,Matale,7.4
2019,Nuwara Eliya,5.1
2019,Kegalle,5.3
2019,Kurunegala,6.8
2019,Puttalam,6.6
2019,Anuradhapura,5.6
2019,Polonnaruwa,7.4
2019,Badulla,5.9
2019,Monaragala,6.7
2019,Ratnapura,5.5
2019,Kegalle,5.3
2019,Galle,5.1
2019,Matara,5.5
2019,Hambantota,7.7
2019,Jaffna,6.3
2019,Mullaitivu,6.9
2019,Batticaloa,6.1
2019,Ampara,7.1
2019,Trincomalee,7.3
2019,Kilinochchi,6.5
2019,Mannar,5.1
2020,Colombo,4.8
2020,Gampaha,6.2
2020,Kalutara,5.4
2020,Kandy,7.5
2020,Matale,6.2
2020,Nuwara Eliya,4.9
2020,Galle,7.0
2020,Matara,8.6
2020,Hambantota,7.9
2020,Jaffna,6.8
2020,Mannar,3.6
2020,Vavunia,2.7
2020,Mullaitivu,4.7
2020,Kilinochchi,3.4
2020,Batticaloa,4.6
2020,Ampara,6.1
2020,Trincomalee,2.6
2020,Kurunegala,5.0
2020,Puttalam,2.9
2020,Anuradhapura,3.9
2020,Polonnaruwa,4.5
2020,Badulla,3.6
2020,Monaragala,6.5
2020,Rathnapura,5.2
2020,Kegalle,5.5
2021,Colombo,4.4
2021,Gampaha,4.7
2021,Kalutara,6.5
2021,Kandy,6.8
2021,Matale,6.1
2021,Nuwara Eliya,3.7
2021,Galle,7.0
2021,Matara,7.2
2021,Hambantota,7.7
2021,Jaffna,4.7
2021,Mannar,2.1
2021,Vavunia,5.4
2021,Mullaitivu,2.4
2021,Kilinochchi,5.3
2021,Batticaloa,7.2
2021,Ampara,5.1
2021,Trincomalee,1.4
2021,Kurunegala,3.7
2021,Puttalam,3.5
2021,Anuradhapura,4.6
2021,Polonnaruwa,4.5
2021,Badulla,5.6
2021,Monaragala,5.4
2021,Rathnapura,4.7
2021,Kegalle,5.2
2022,Colombo,5.1
2022,Gampaha,4.5
2022,Kalutara,5.4
2022,Kandy,6.7
2022,Matale,5.6
2022,Nuwara Eliya,4.3
2022,Galle,5.7
2022,Matara,5.2
2022,Hambantota,6.9
2022,Jaffna,5.7
2022,Mannar,2.7
2022,Vavuniya,2.1
2022,Mullaitivu,2.3
2022,Kilinochchi,4.4
2022,Batticaloa,4.2
2022,Ampara,4.3
2022,Trincomalee,2.7
2022,Kurunegala,3.9
2022,Puttalam,3.5
2022,Anuradhapura,4.1
2022,Polonnaruwa,2.9
2022,Badulla,4.6
2022,Monaragala,3.9
2022,Rathnapura,3.5
2022,Kegalle,4.1
2023,Colombo,3.7
