Year,Age_Group,Total,Male,Female
2015,15-24,12.8,8.5,19.4
2015,25-29,6.7,4.2,11.2
2015,30-39,4.1,2.8,7.3
2015,40+,2.5,1.6,5.2
2016,15-24,12.4,8.2,18.6
2016,25-29,6.3,3.9,10.8
2016,30-39,3.9,2.6,7.0
2016,40+,2.3,1.5,4.9
2017,15-24,11.8,7.8,17.8
2017,25-29,5.9,3.7,10.2
2017,30-39,3.7,2.5,6.7
2017,40+,2.1,1.4,4.6
2018,15-24,13.1,8.8,19.2
2018,25-29,6.4,4.1,10.9
2018,30-39,3.9,2.7,7.1
2018,40+,2.4,1.6,5.1
2019,15-24,14.2,9.6,20.4
2019,25-29,7.1,4.6,11.8
2019,30-39,4.2,2.9,7.6
2019,40+,2.6,1.7,5.4
2020,15-24,26.5,18.2,37.8
2020,25-29,10.2,7.1,15.3
2020,30-39,5.8,4.0,8.9
2020,40+,3.2,2.3,5.6
2021,15-24,26.5,18.4,36.9
2021,25-29,10.1,7.0,15.1
2021,30-39,5.6,3.9,8.6
2021,40+,3.0,2.1,5.3
2022,15-24,22.7,15.6,31.9
2022,25-29,8.3,5.8,12.1
2022,30-39,4.9,3.4,7.3
2022,40+,2.8,1.9,4.7
2023,15-24,23.0,15.9,32.1
2023,25-29,8.2,5.7,12.0
2023,30-39,4.8,3.3,7.2
2023,40+,2.7,1.9,4.6
2024,15-24,22.0,15.2,30.4
2024,25-29,7.8,5.4,11.3
2024,30-39,4.5,3.1,6.7
2024,40+,2.5,1.7,4.3
